"r.day" "month" "day" "pow.obs" "ws30" "wd30"
1 1 1 243.027777777778 6.72361111111175 4.03434046045376
2 1 2 2780.01369863014 4.27260273972582 2.13652080918308
3 1 3 2118.61643835616 4.27260273972615 1.62403178346134
4 1 4 1660.87671232877 6.54109589041105 0.226902202977219
5 1 5 1872.79452054795 9.71369863013684 5.31618519450688
6 1 6 3212.2602739726 8.16164383561671 0.952296308306712
7 1 7 217.452054794521 8.89315068493079 0.448725718203046
8 1 8 6.28767123287671 6.42876712328722 0.958336525954724
9 1 9 0.301369863013699 5.14657534246554 5.94304023189495
10 1 10 25.1780821917808 7.84109589041129 0.462411612310365
11 1 11 1270.79452054795 9.08287671232969 5.25925479632281
12 1 12 3195.97412480974 14.4595890410947 5.2211572470206
13 1 13 1933.10502283105 16.5013698630138 5.36076116203914
14 1 14 3293.21156773212 24.5232876712367 4.92602622515896
15 1 15 4666.81887366819 24.8506849315048 4.61783960534757
16 1 16 3835.76864535769 24.9061643835609 5.11534501918791
17 1 17 4101.35464231355 24.6321917808244 4.46946564621992
18 1 18 3084.4901065449 19.9643835616436 4.68794772601303
21 1 21 2028.26484018265 14.9630136986293 3.57820857588046
22 1 22 1114.30745814307 9.06986301369839 3.36268864970706
23 1 23 520.243531202435 4.43356164383499 0.987316438281246
24 1 24 1149.07153729072 6.53082191780825 5.40421158824928
25 1 25 4184.56621004566 15.1753424657547 4.44624218840545
26 1 26 2767.00152207002 14.7198630136985 5.08445295367509
27 1 27 3222.84627092846 24.9499999999974 5.3912818950745
28 1 28 4427.6103500761 23.4136986301319 5.17593929429854
29 1 29 2043.71385083714 8.56780821917718 0.384596531091902
30 1 30 2906.33181126332 8.3260273972609 0.499045142753409
31 1 31 2015.72298325723 13.0958904109596 0.372949876797532
32 2 1 3201.45547945205 14.2849315068508 4.25665305198848
33 2 2 4681.06164383562 15.0945205479452 4.13932937686543
34 2 3 2852.72260273973 13.3541095890412 4.19740619882094
35 2 4 3.99657534246575 4.66506849315069 4.4469349752324
36 2 5 920.643835616438 4.97054794520569 5.8786674760644
37 2 6 415.86301369863 13.8808219178095 6.23220120320651
38 2 7 2608.98630136986 8.83287671232948 4.76266635105922
39 2 8 841.150684931507 4.36506849315116 5.26519037804144
40 2 9 4384.15068493151 11.0609589041099 3.38518391061436
41 2 10 1288.06849315068 7.24931506849333 3.52239350234979
42 2 11 345.013698630137 5.9691780821916 3.75227886784102
43 2 12 154.712328767123 6.71369863013755 3.49534055682095
44 2 13 6.63013698630137 1.13904109589026 4.34491443297279
45 2 14 396.369863013699 6.9712328767123 6.27464196013179
46 2 15 276.13698630137 9.43356164383529 0.860666468005263
49 2 18 5.61643835616438 7.63904109589074 1.1271821393174
50 2 19 104.794520547945 9.23972602739831 1.97483803881074
51 2 20 75.2602739726027 13.6499999999996 1.88482986564298
52 2 21 1143.58904109589 9.59589041095896 2.87881442893513
53 2 22 595.109589041096 8.79657534246569 3.04208304346177
54 2 23 965.534246575342 9.64383561643866 3.14356883200958
56 2 25 14.3698630136986 3.63561643835581 3.06915672403426
57 2 26 331.849315068493 4.87876712328779 2.02366977768545
58 2 27 198.506849315069 5.00547945205527 1.25121480319096
59 2 28 8.50684931506849 2.32876712328704 6.05615171721353
60 3 1 2174.69863013699 7.06164383561716 3.06286517533353
61 3 2 2530.78082191781 8.52465753424699 2.52383721167738
62 3 3 2062.28767123288 5.2219178082187 2.08072848234781
