"time";"SLV"
"2006-5-5";0.0137581462708182
"2006-5-12";0.0328571428571429
"2006-5-19";-0.128630705394191
"2006-5-26";0.00555555555555558
"2006-6-5";-0.0457774269928966
"2006-6-12";-0.0951199338296113
"2006-6-19";-0.0904936014625229
"2006-6-26";0.0371859296482413
"2006-7-3";0.102713178294574
"2006-7-11";0.0166959578207381
"2006-7-18";-0.083837510803803
"2006-7-25";0.0367924528301887
"2006-8-1";0.0700636942675159
"2006-8-8";0.0425170068027211
"2006-8-15";-0.0130505709624796
"2006-8-22";0.0165289256198348
"2006-8-29";-0.00162601626016271
"2006-9-6";0.0578175895765473
"2006-9-13";-0.139337952270978
"2006-9-20";-0.0259391771019677
"2006-9-27";0.0670339761248851
"2006-10-4";-0.0705679862306367
"2006-10-11";0.0342592592592592
"2006-10-18";0.0492390331244405
"2006-10-25";0.015358361774744
"2006-11-1";0.0453781512605041
"2006-11-8";-0.00160771704180061
"2006-11-15";0.035426731078905
"2006-11-22";0.0132192846034215
"2006-11-30";0.0721412125863393
"2006-12-7";-0.00572655690765927
"2006-12-14";-0.0122390208783297
"2006-12-21";-0.0998542274052479
"2006-12-29";0.0412955465587044
"2007-1-9";-0.0342146189735614
"2007-1-17";0.0257648953301127
"2007-1-24";0.0361067503924646
"2007-1-31";0.0242424242424243
"2007-2-7";0.00517751479289943
"2007-2-14";0.0316409124356144
"2007-2-22";0.0114122681883024
"2007-3-1";-0.0451339915373766
"2007-3-8";-0.0457902511078286
"2007-3-15";0.000773993808049519
"2007-3-22";0.0355761794276876
"2007-3-29";-0.0104555638536221
"2007-4-5";0.0309433962264151
"2007-4-13";0.0241581259150805
"2007-4-20";-0.00857755539671201
"2007-4-27";-0.0273972602739725
"2007-5-4";-0.00815418828762042
"2007-5-11";-0.0171898355754858
"2007-5-18";-0.0190114068441065
"2007-5-25";-0.00155038759689919
"2007-6-4";0.0597826086956521
"2007-6-11";-0.0366300366300366
"2007-6-18";0.000760456273764242
"2007-6-25";-0.0258358662613982
"2007-7-2";-0.0179407176287052
"2007-7-10";0.0222398729150119
"2007-7-17";-0.0038850038850038
"2007-7-24";0.0296411856474258
"2007-7-31";-0.0303030303030302
"2007-8-7";0.0179687499999999
"2007-8-14";-0.0314658480429778
"2007-8-21";-0.0879556259904912
"2007-8-28";0.0112945264986969
"2007-9-5";0.0438144329896907
"2007-9-12";0.0345679012345679
"2007-9-19";0.0238663484486873
"2007-9-26";0.0357420357420358
"2007-10-3";-0.0082520630157539
"2007-10-10";0.0204236006051437
"2007-10-17";0.00222386953298735
"2007-10-24";-0.00295857988165674
"2007-10-31";0.0652818991097922
"2007-11-7";0.0564066852367688
"2007-11-14";-0.0197758734344101
"2007-11-21";-0.0356422326832548
"2007-11-29";-0.0167364016736402
"2007-12-6";0.0198581560283689
"2007-12-13";-0.025730180806676
"2007-12-20";0.00571020699500357
"2007-12-28";0.0397444996451384
"2008-1-7";0.0273037542662116
"2008-1-14";0.0817275747508306
"2008-1-22";-0.0233415233415234
"2008-1-29";0.039622641509434
"2008-2-5";-0.0217785843920145
"2008-2-12";0.0531849103277674
"2008-2-20";0.0393423370522606
"2008-2-27";0.0807909604519774
"2008-3-5";0.0778881338212233
"2008-3-12";-0.0315227934044618
"2008-3-19";-0.086129193790686
"2008-3-27";0.00383561643835618
"2008-4-3";-0.0594978165938865
"2008-4-10";0.0336622170632617
"2008-4-17";0.0112296462661428
"2008-4-24";-0.0810660744031094
"2008-5-1";-0.0338368580060423
"2008-5-8";0.0444027517198248
"2008-5-15";-0.00898203592814363
"2008-5-22";0.0743202416918429
"2008-5-30";-0.062429696287964
"2008-6-6";0.0437912417516495
"2008-6-13";-0.0614942528735632
"2008-6-20";0.0532761788120025
"2008-6-27";0.00755813953488366
"2008-7-7";0.0155799192152339
"2008-7-14";0.0761363636363636
"2008-7-21";-0.0374868004223865
"2008-7-28";-0.047723532638508
"2008-8-4";-0.0357142857142858
"2008-8-11";-0.139784946236559
"2008-8-18";-0.102083333333333
"2008-8-25";0.0309358081979892
"2008-9-2";-0.0292573143285822
"2008-9-9";-0.136012364760433
"2008-9-16";-0.0697674418604651
"2008-9-23";0.267307692307692
"2008-9-30";-0.100910470409712
"2008-10-7";-0.0396624472573839
"2008-10-14";-0.045694200351494
"2008-10-21";-0.0810313075506445
"2008-10-28";-0.093186372745491
"2008-11-4";0.118232044198895
"2008-11-11";-0.0474308300395256
"2008-11-18";-0.016597510373444
"2008-11-25";0.0748945147679324
"2008-12-3";-0.0667320902845927
"2008-12-10";0.0725552050473186
"2008-12-17";0.0627450980392157
"2008-12-24";-0.018450184501845
"2009-1-2";0.044172932330827
"2009-1-9";-0.0549054905490549
"2009-1-16";0.0561904761904762
"2009-1-26";0.0685302073940487
"2009-2-2";0.039662447257384
"2009-2-9";0.0535714285714286
"2009-2-17";0.0916795069337442
"2009-2-24";-0.0479887085391672
"2009-3-3";-0.0526315789473685
"2009-3-10";-0.014866979655712
"2009-3-17";0.0142970611596505
"2009-3-24";0.0454189506656226
"2009-3-31";-0.0382022471910112
"2009-4-7";-0.0545171339563862
"2009-4-15";-0.00658978583196047
"2009-4-22";0.0398009950248755
"2009-4-29";-0.0263157894736841
"2009-5-6";0.113841113841114
"2009-5-13";0.0183823529411765
"2009-5-20";0.0353790613718412
"2009-5-28";0.0788005578800558
"2009-6-4";-0.0297349709114416
"2009-6-11";-0.0253164556962025
"2009-6-18";-0.0437457279562543
"2009-6-25";-0.00643316654753394
"2009-7-2";-0.0575539568345324
"2009-7-10";-0.0335877862595419
